T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
53.8005493164063,157057357.190153,175271363.983547,223534394.303367,188420882.37508,380591751.49352,363692246.358627,7074123.89518967,6760009.91243414
53.9850807691506,158369481.407069,176525428.613398,227554097.189481,192298343.515563,385923578.596551,368823772.12896,7148716.27095012,6831957.40163979
54.169612221895,159695586.596576,177792818.951359,231616287.003099,196217962.483947,391311873.599675,374010781.435306,7223833.56381037,6904438.96894056
54.3541436746394,161035672.758673,179073633.857912,235720963.744219,200180037.909638,396756636.502892,379253671.767549,7299475.77377043,6977456.47826712
54.5386751273838,162389742.954289,180367972.412144,239868136.622928,204184864.702463,402257879.577218,384552837.114607,7375642.9573693,7051011.71273885
54.7232065801282,163757861.71346,181675933.889292,244057999.804789,208232738.347958,407815861.518249,389908672.23725,7452336.30655383,7125106.45513983
54.9077380328726,165140150.447885,182997618.163229,248290918.607608,212323956.092603,413431069.055493,395321574.255832,7529558.06394307,7199742.48730157
55.092269485617,166536732.709863,184333125.22419,252567264.790041,216458815.525338,419103997.499904,400791940.749529,7607310.5116938,7274921.5908755
55.2768009383614,167947725.78232,185682555.360009,256887390.971664,220637615.132405,424835116.753984,406320170.492413,7685595.80585767,7350645.5476357
55.4613323911057,169373225.953368,187046009.432892,261251585.679361,224860655.131863,430624811.632729,411906664.564755,7764415.68018732,7426916.13959297
55.6458638438501,170813325.121382,188423588.381542,265660124.039064,229128235.9722,436473449.160446,417551824.353742,7843771.78013816,7503735.14878389
55.8303952965945,172268115.522913,189815393.539431,270113282.229273,233440659.284603,442381397.752186,423256052.824034,7923665.75737879,7581104.35720104
56.0149267493389,173737694.678196,191221526.734578,274611352.873622,237798228.181871,448349047.551819,429019754.916449,8004099.36065212,7659025.54678189
56.1994582020833,175222164.292285,192642089.855916,279154641.620749,242201245.959451,454376805.913034,434843335.815367,8085074.41558655,7737500.49946132
56.3839896548277,176721626.184565,194077185.28229,283743454.476615,246650017.38306,460465080.661179,440727202.66535,8166592.74993058,7816530.9971888
56.5685211075721,178236181.904321,195526915.794914,288378097.834419,251144848.425966,466614279.73874,446671764.22088,8248656.20269491,7896118.82192578
56.7530525603165,179765932.241303,196991384.249152,293058879.176305,255686045.283881,472824811.417609,452677429.533033,8331266.64456049,7976265.75563358
56.9375840130608,181310977.852728,198470694.066412,297786106.174429,260273915.85048,479097084.027157,458744609.916892,8414425.9517344,8056973.58026897
57.1221154658052,182871419.477309,199964948.970233,302560086.428826,264908768.925741,485431505.906135,464873717.895974,8498135.99536833,8138244.07778633
57.3066469185496,184447358.865985,201474252.799788,307381126.643789,269590913.65656,491828485.509775,471065166.456348,8582398.58382297,8220079.03014023
57.491178371294,186038898.454911,202998710.007371,312249532.917247,274320661.029239,498288431.372158,477319371.03661,8667215.48295335,8302480.21928662
57.6757098240384,187646140.694111,204538425.252625,317165611.339404,279098322.652147,504811752.033516,483636747.904773,8752588.45782564,8385449.4271819
57.8602412767828,189269188.294133,206093503.380455,322129669.064469,283924210.689431,511398857.358602,490017714.069886,8838519.27773667,8468988.43578232
58.0447727295272,190908144.583326,207664049.854751,327142015.769865,288798639.162174,518050160.353191,496462689.016926,8925009.72201588,8553099.02704361
58.2293041822716,192563112.979606,209250170.270334,332202961.498828,293721922.48424,524766074.478434,502972092.754574,9012061.57144723,8637782.98292142
58.4138356350159,194234196.970781,210851970.498746,337312816.582269,298694375.899684,531547013.55305,509546346.39843,9099676.6081616,8723042.08537167
58.5983670877603,195921500.746163,212469556.993075,342471894.238637,303716316.397227,538393394.9848,516185873.390302,9187856.62780927,8808878.11635093
58.7828985405047,197625128.899994,214103036.288558,347680509.353131,308788061.212041,545305638.253126,522891097.500599,9276603.43384425,8895292.85781579
58.9674299932491,199345186.034063,215752515.296953,352938976.848103,313909928.708786,552284162.882166,529662444.005739,9365918.82996973,8982288.09172155
59.1519614459935,201081777.113468,217418101.44158,358247613.973934,319082238.786689,559329391.087402,536500340.228269,9455804.64110378,9069865.60002175
59.3364928987379,202835007.833019,219099902.207414,363606742.656894,324305311.529962,566441750.489914,543405213.737376,9546262.7347748,9158027.16467013
