T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
38.6373168945313,103304436.363078,108810185.024388,-4993471.07473583,-12217708.686482,98310965.2883421,96592476.3379061,2544456.32331828,2499978.87984486
38.7542595131479,103603257.723691,109103802.853086,-4067577.26317609,-11380313.5697947,99535680.4605146,97723489.2832911,2568390.6602217,2521619.31482281
38.8712021317646,103904961.196778,109399960.522057,-3132871.74056097,-10534350.400177,100772089.456217,98865610.1218805,2592476.07930562,2543415.30049095
38.9881447503813,104209546.782341,109698676.233748,-2189354.50689048,-9679772.27099928,102020192.27545,100018903.962749,2616712.58057004,2565367.10560926
39.105087368998,104517014.480378,109999968.185678,-1237025.56216461,-8816530.6516821,103279988.918213,101183437.533996,2641100.16401496,2587475.04086818
39.2220299876146,104827364.29089,110303854.59486,-275884.906383367,-7944576.31550707,104551479.384507,102359278.279353,2665638.82964038,2609739.4335377
39.3389726062313,105140596.213877,110610353.813919,694067.460453252,-7063855.19281962,105834663.67433,103546498.621099,2690328.5774463,2632160.72622948
39.455915224848,105456710.462242,110919484.2531,1672832.18278293,-6174311.1561218,107129542.645024,104745173.096979,2715169.41294774,2654739.41056571
39.5728578434647,105775716.385952,111231264.324802,2660437.56214744,-5275888.08556843,108436153.948099,105955376.239233,2740161.57834578,2677475.97780201
39.6898004620814,106097635.727623,111545712.513708,3656949.41155437,-4368530.42714432,109754585.139178,107177182.086564,2765305.63686001,2700370.89884327
39.806743080698,106422491.112908,111862847.396672,4662436.21688447,-3452183.34824848,111084927.329793,108410664.048424,2790602.1745841,2723424.61864795
39.9236856993147,106750305.167458,112182687.556535,5676966.46401848,-2526792.06314734,112427271.631476,109655895.493388,2816051.77761176,2746637.58048887
40.0406283179314,107081100.516923,112505251.606247,6700608.63883715,-1592301.61360271,113781709.15576,110912949.992644,2841655.03203667,2770010.22977541
40.1575709365481,107414899.786957,112830558.28092,7733431.22722123,-648656.341494562,115148331.014178,112181901.939426,2867412.52395252,2793543.02058548
40.2745135551647,107751725.181962,113158626.346646,8775501.49655814,304199.588768656,116527226.67852,113462825.935414,2893324.82909477,2817236.40919507
40.3914561737814,108091595.443613,113489474.575482,9826876.69800843,1266322.02624983,117918472.141621,114755796.601732,2919392.43805245,2841090.85176485
40.5083987923981,108434527.613447,113823121.834936,10887609.1649526,2237767.03543283,119322136.7784,116060888.870369,2945615.79960929,2865106.80261139
40.6253414110148,108780538.721246,114159587.069264,11957751.196759,3218590.85401491,120738289.918005,117378177.923279,2971995.36225987,2889284.71456848
40.7422840296314,109129645.796788,114498889.225046,13037355.0927956,4208849.72508477,122167000.889583,118707738.950131,2998531.5744988,2913625.04042869
40.8592266482481,109481865.869853,114841047.296794,14126473.1524307,5208600.04503393,123608339.022284,120049647.341828,3025224.88482065,2938128.23323171
40.9761692668648,109837215.971341,115186080.394894,15225157.6776019,6217898.58083657,125062373.648943,121403978.975731,3052075.74172402,2962794.74661444
41.0931118854815,110195713.624302,115534007.646891,16333462.1002105,7236802.15435391,126529175.724513,122770809.801245,3079084.59546451,2987625.0343023
41.2100545040981,110557377.613799,115884848.193553,17451442.7496941,8265367.62641056,128008820.363493,124150215.819964,3106251.9008032,3012619.55000237
41.3269971227148,110922226.924344,116238621.287066,18579156.4134241,9303652.18615834,129501383.337768,125542273.473224,3133578.11321322,3037778.74726771
41.4439397413315,111290280.54045,116595346.235466,19716659.8787719,10351713.1873319,131006940.419222,126947059.422798,3161063.68816773,3063103.07957413
41.5608823599482,111661557.446632,116955042.348477,20864009.9331087,11409607.9887263,132525567.379741,128364650.337203,3188709.08113984,3088593.00039733
41.6778249785648,112036076.627403,117317729.004605,22021263.363806,12477394.1564586,134057339.991209,129795123.161064,3216514.74760271,3114248.9632385
41.7947675971815,112413857.06519,117683425.684907,23188476.960759,13555129.5657587,135602334.025949,131238555.250666,3244481.1429649,3140071.4216368
41.9117102157982,112794917.701401,118052151.878801,24365707.5634853,14642872.1170663,137160625.264886,132695023.995868,3272608.72136551,3166060.82913449
